Label,Tweet
Netral,adek gue positif covid gejala pilek batuk demam anosmia keluarga tes hasil negatif skrg isolasi mandiri anak mana papar antre vaksin rumah kencengin hati ya
Netral,adi rs rujuk covid produsen oksigen pln siaga personel jaga andal lokasi isolasi se-jawa timur yppii malang rusun ub dieng badan diklat malang
Netral,afrika selatan tuju vaksin sinovac china lawan covid afrika selatan hadap gelombang infeksi tiga
Netral,akibat paranoid bilang minum kaleng susu beruang sembuuh covid sembuh
Positif,alhamdulilah orang jalan pt ibrahim daftar vaksin program daftar vaksin tubuh team data sumbang rm sakit covid penghulu mukim pontin jpkk pt ibrahim
Netral,am lembah klang alir trafik semua lebuhraya tol keseluruhanya lancar kawal ikut alir trafik rendah laksana lockdown kendiri patuh sop bendung tular covid selamat hujung minggu lindungdirilindungsemua
Negatif,amah gue positif c sedih bgt pas dapet kabar kalo amah papar covid suster mohon bantu doa nya gais sembuh amah gue suster moga cepet negatif alhamdulillah nya amah gue gejala apa tpi tetep aja sedih bgt amah gue
Netral,aman tutup hamil vaksin covid ayahbunda ibuhamil vaksinasicovid
Netral,ambil maklum maklum hubung covid assessment centre kuala lumpur putrajaya positif covid kolomposihat sihatmilikku covidassessmentcentre covid
Netral,ambil maklum maklum hubung covid assessment centre selangor positif covid sihatmilikku covidassessmentcentre covid
Netral,anak anak mudah kerja vaksin yuk sore jam wib jam wita ngumpul fb geppuk id kak heru cerita si imun temu si novac bekerjasama lawan virus covid
Netral,anak jakarta positif covid ppkm darurat
Negatif,ancam sakit mati krn covid bgt yuk perbnyk bicara laku guna bg orang bnyk stop cari salah orang hny spy orang suka bicara baik orang buruk suka cari keburu
Netral,andai wisma hambalang mangkrak layan perintah jokowi leluasa tangan pasien covid
Negatif,anggap remeh wabah covid berat banjir igd kapar rumah rs tampung obat het obat butuh kendali pandemi perilaku manusia butuh sadar jauh risiko tular
Negatif,anggota komisi xi dpr fraksi partai demokrat didi irawadi nilai jka perintah paksa pindah kota negara ikn lonjak covid perintah tdk milik sikap empati kepd rakyat
Netral,antan julai kapasiti semua pusat kuarantin rawat covid pkrc negeri bak atus sahaja tampung sakit baharu berita penuh gt
Netral,antan julai kluster rantau kenanga jangkit varian baharu bimbang voc iaitu varian delta kali kes india nali super strain berita penuh gt
Positif,antri ambulance bawa pasien covid dijogja mlm moga layan pulih semangat kru ambulance juang hantar pasien semangat nakes rs jogjakarta
Positif,april banser tanggap bencana bagana bagana kabupaten kalong makam jenazah covid takut panggil jiwa cinta negeri
Positif,as dukung indonesia lawan tingkat covid sindonews bukanberitabiasa
Positif,as kirim juta vaksin covid moderna indonesia jabat bahas rencana as tingkat bantu upaya respons covid indonesia luas
Netral,asrama haji indonesia tampung pasien covid
