tweetcreatedts,username,text,retweet_count,like
 2021-07-03 23:59:58,lendrifa,"Menghadapi lonjakan kasus COVID-19 di RI, masker menjadi kunci. Double masking atau memakai masker rangkap lebih dianjurkan. Caranya bagaimana agar efektif? https://t.co/ewaPKOGsMs",6,0
 2021-07-03 23:59:57,ccsptr__,"Baru kali ini terjadi kematian di luar fasilitas kesehatan atau saat isolasi mandiri 😰🥀  Ini rilis kami, tercatat sedikitnya 265 orang meninggal dunia saat isolasi mandiri. Sedemikian lemahnya jaminan keselamatan rakyat Indonesia.  https://t.co/SREkQUZDRo",1463,0
 2021-07-03 23:59:53,wonykkura,"Kabar Baik!!  Penelitian terbaru menyatakan bahwa: - Air purifier portable HEPA filter menurunkan risiko paparan aerosol simulasi Covid-19 indoor hingga 65% -Kombinasi masker + HEPA filter menurunkan risiko hingga 90%  Air purifier HEPA filter + masker di ruang tertutup works! https://t.co/dUDX0pSaAt",5126,0
 2021-07-03 23:59:51,hadi_11bsk,"Indonesia tengah menunggu 'hibahan' vaksin COVID-19 dari sejumlah negara. Di antaranya, vaksin Moderna dari Amerika Serikat sebanyak 4 juta dosis. Kapan tiba? #vaksinmoderna  https://t.co/hWTxLI4vE2",13,0
 2021-07-03 23:59:50,TofikNew,"HMI: ""Keterpurukan negara ini ini tak hanya terjadi di masa pandemi Covid-19 saat ini, tetapi telah terjadi bahkan sejak awal Jokowi menjabat.""  https://t.co/JAVgY7MEtf",234,0
 2021-07-03 23:59:46,TeyengCekap,"Luhut: Jangan Coba-coba Naikkan Harga Obat COVID-19, Anda Akan Menyesal! https://t.co/GWDlxSYTPU",195,0
 2021-07-03 23:59:41,faaraa_mokhtar,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15706,0
 2021-07-03 23:59:40,incitu,"Turut berduka cita.  Pabrik oksigennya pun tidak bisa menolong dia.  https://t.co/3kF4HrKW37",5,5
 2021-07-03 23:59:39,windryramadhina,"Baru kali ini terjadi kematian di luar fasilitas kesehatan atau saat isolasi mandiri 😰🥀  Ini rilis kami, tercatat sedikitnya 265 orang meninggal dunia saat isolasi mandiri. Sedemikian lemahnya jaminan keselamatan rakyat Indonesia.  https://t.co/SREkQUZDRo",1463,0
 2021-07-03 23:59:37,Salimbado9,"Berwudhu tidak menghancurkan virus Corona, karena Covid-19 bukanlah kotoran biasa seperti debu.  Wudhu sudah ditetapkan dalam ilmu Islam untuk menyucikan diri sbg syarat sah sholat.  Jangan mabok agama macam Walkot Depok deh.  Belajarlah agama pada orang berilmu 🙏 https://t.co/fXbTyT47ry https://t.co/mWaLJwhoGS",22,0
 2021-07-03 23:59:33,inaya_yuni,"Bila ada banjir bandang kasus Covid-19 dari atas mengalir ke bawah, bagaimanapun meski ada bak penampungan (rumah sakit) juga",0,0
 2021-07-03 23:59:28,bramakumbara321,"@KangHasan20 @jokowi @YaqutCQoumas Yg mau razia siapa? Yaqut itu org NU yg terkenal dengan toa masjidnya seabreg² satu toko diborong semua, sampai saya saja muak dgn NU.  Jokowi juga tidak pernah membuat perintah untuk itu. Yg memaksa adalah wabah pandemi covid-19. Saya sendiri bukan orang pro-jokowi.",0,0
 2021-07-03 23:59:28,DhilHutomo,"Tampaknya para #HamaDemokrasi terganggu dg dorongan #BongkarKorupsiBansos Covid-19 &amp; advokasi membela hak #75PegawaiKPK korban TWK.  Narasi mereka skrg: jangan ganggu pemerintah yg sdg tanggulangi pandemi.  Pdhal salah1 faktor pengganggu adalah Korupsi dlm Penanganan Covid-19.",845,0
 2021-07-03 23:59:19,butterphwyyy,"𝗖𝗔𝗥𝗔 𝗡𝗔𝗞 𝗖𝗘𝗣𝗔𝗧𝗞𝗔𝗡 𝗗𝗔𝗣𝗔𝗧 𝗧𝗔𝗥𝗜𝗞𝗛 𝗩𝗔𝗞𝗦𝗜𝗡  Yang dah lama daftar vaksin tapi masih tak dapat lagi tarikh, buka app MySejahtera dan cuba cara ini:  1) Klik pada ‘Covid-19 Vaccination’ 2) Pilih ‘Vaccine Information’ https://t.co/MQ1PlqMuMG",15706,0
 2021-07-03 23:59:17,KomatKamiit,"#AwasBahayaVirusKadrun Disaat pemerintah sedang berkonsolidasi melawan pandemi Covid-19, mahasiswa seharusnya mendukungnya.namun apa yang dilakukan BEM UI malah sebaliknya memberi kritikan tampa data dan tampa solusi. BEM UI kemungkinan telah ditunggangi kelompok kepentingan. https://t.co/fVTomQs5vr",21,0
 2021-07-03 23:59:11,kal_wukirsari,"Mari putus rantai penyebaran Covid-19 dengan cara tetap memakai masker, mencuci tangan dengan sabun/hand sanitizer, menjaga jarak, menjauhi kerumunan serta mengurangi mobilitas.   #wukirsarisejahtera #wukirsarimendunia #lawancovid19",0,0
 2021-07-03 23:59:11,HangLekiu12,"Alhamdulilah 300 orang di Jalan Pt Ibrahim telah mendaftar vaksin dalam Program Pendaftaran Vaksin bersama Penubuhan Team Data.  Sumbangan RM1500 kepada Pesakit Covid 19 juga diberikan bersama Penghulu Mukim PontiN dan JPKK Pt Ibrahim. https://t.co/IppJwQplZb",5,0
