Label,Tweet
Positif,alhamdulilah orang jalan pt ibrahim daftar vaksin program daftar vaksin tubuh team data sumbang rm sakit covid penghulu mukim pontin jpkk pt ibrahim
Negatif,amah gue positif c sedih bgt pas dapet kabar kalo amah papar covid suster mohon bantu doa nya gais sembuh amah gue suster moga cepet negatif alhamdulillah nya amah gue gejala apa tpi tetep aja sedih bgt amah gue
Negatif,ancam sakit mati krn covid bgt yuk perbnyk bicara laku guna bg orang bnyk stop cari salah orang hny spy orang suka bicara baik orang buruk suka cari keburu
Negatif,anggap remeh wabah covid berat banjir igd kapar rumah rs tampung obat het obat butuh kendali pandemi perilaku manusia butuh sadar jauh risiko tular
Negatif,anggota komisi xi dpr fraksi partai demokrat didi irawadi nilai jka perintah paksa pindah kota negara ikn lonjak covid perintah tdk milik sikap empati kepd rakyat
Positif,antri ambulance bawa pasien covid dijogja mlm moga layan pulih semangat kru ambulance juang hantar pasien semangat nakes rs jogjakarta
Positif,april banser tanggap bencana bagana bagana kabupaten kalong makam jenazah covid takut panggil jiwa cinta negeri
Positif,as dukung indonesia lawan tingkat covid sindonews bukanberitabiasa
Positif,as kirim juta vaksin covid moderna indonesia jabat bahas rencana as tingkat bantu upaya respons covid indonesia luas
Positif,atas lonjak covid gubernur jawa timur khofifah indar parawansa langsung gerak cepat
Positif,awal beritabaikhariini kerjasama pagi tim pagipagi berita informatif inspiratif update berita portal
Negatif,awasbahayaviruskadrun saat perintah konsolidasi lawan pandemi covid mahasiswa dukung namun bem ui kritik tampa data tampa solusi bem ui tunggang kelompok penting
Positif,ayo olahraga guys keluar keringat tingkat imun lawan covid
Positif,ayo pakai masker disiplin protokol sehat cegah sebar virus covid divhumaspolri poldakaltim polrestasamarinda polsektasungaikunjang ayopakaimasker patuhiprotokolkesehatan cegahviruscovid
Positif,ayotaatim taatiprotokolkesehatan saat pandemi covid laku ppkm darurat tni polri tdk bosan bosan nya menghimbau kpd warga agr tertib taat prokes agr hindar covid terap m dlm hidup hari jgb korban virus corona
Negatif,bagamana covid turut nyata sakit bohong bisnis vaksin nyata sakit sengaja bisnis vaksin silah isi dapat koment ya
Negatif,baik henti indah konspirator covid bantu jaga cerita hidup situasi urgen rumah sakit kewalahan bahas kontribusi baik situasi terima kasih
Positif,bakti jaga selamat masyarakat mari kontribusi cegah tular covid patuh protokol sehat vaksinasi covid semangatpresisipolresgorontalo
Positif,bangkit umat bangkit indonesia mari jaga semangat zakat energi kedermawanan indonesia kuat krisis pandemik covid prof hilman latief m a ph d miladlazismu lazismu muhammadiyah memberiuntuknegeri zakatbangkitkanindonesia
Positif,bantu tangan covid dprd tim cleaning service perhati detakkaltim
Positif,barusan orang cerita lucu dia vonis covid fucksin x telah ket fauckin si tarik statement nya saran istirahat minum air putih banyak arti dagang
Negatif,bejat manusia manfaat darurat akibat pandemi covid jual agama negara chaos
Negatif,belasungkawa arief harsono milik samator produsen oksigen medis besar indonesia almarhum tinggal covid
Positif,belia masjid lis kerjasama masjid negeri arau lancar projek food bank inisiatif ringan beban golong kes pandemik covid
Positif,bersholawat nariyah berdo a selamat bangsa bebas wabah pandemi covid blora bismillah allahumma aamiin ariefrohman
