Label,Tweet
1,alhamdulilah orang jalan pt ibrahim daftar vaksin program daftar vaksin tubuh team data sumbang rm sakit covid penghulu mukim pontin jpkk pt ibrahim
0,amah gue positif c sedih bgt pas dapet kabar kalo amah papar covid suster mohon bantu doa nya gais sembuh amah gue suster moga cepet negatif alhamdulillah nya amah gue gejala apa tpi tetep aja sedih bgt amah gue
0,ancam sakit mati krn covid bgt yuk perbnyk bicara laku guna bg orang bnyk stop cari salah orang hny spy orang suka bicara baik orang buruk suka cari keburu
0,anggap remeh wabah covid berat banjir igd kapar rumah rs tampung obat het obat butuh kendali pandemi perilaku manusia butuh sadar jauh risiko tular
0,anggota komisi xi dpr fraksi partai demokrat didi irawadi nilai jka perintah paksa pindah kota negara ikn lonjak covid perintah tdk milik sikap empati kepd rakyat
1,antri ambulance bawa pasien covid dijogja mlm moga layan pulih semangat kru ambulance juang hantar pasien semangat nakes rs jogjakarta
1,april banser tanggap bencana bagana bagana kabupaten kalong makam jenazah covid takut panggil jiwa cinta negeri
1,as dukung indonesia lawan tingkat covid sindonews bukanberitabiasa
1,as kirim juta vaksin covid moderna indonesia jabat bahas rencana as tingkat bantu upaya respons covid indonesia luas
1,atas lonjak covid gubernur jawa timur khofifah indar parawansa langsung gerak cepat
1,awal beritabaikhariini kerjasama pagi tim pagipagi berita informatif inspiratif update berita portal
0,awasbahayaviruskadrun saat perintah konsolidasi lawan pandemi covid mahasiswa dukung namun bem ui kritik tampa data tampa solusi bem ui tunggang kelompok penting
1,ayo olahraga guys keluar keringat tingkat imun lawan covid
1,ayo pakai masker disiplin protokol sehat cegah sebar virus covid divhumaspolri poldakaltim polrestasamarinda polsektasungaikunjang ayopakaimasker patuhiprotokolkesehatan cegahviruscovid
1,ayotaatim taatiprotokolkesehatan saat pandemi covid laku ppkm darurat tni polri tdk bosan bosan nya menghimbau kpd warga agr tertib taat prokes agr hindar covid terap m dlm hidup hari jgb korban virus corona
0,bagamana covid turut nyata sakit bohong bisnis vaksin nyata sakit sengaja bisnis vaksin silah isi dapat koment ya
0,baik henti indah konspirator covid bantu jaga cerita hidup situasi urgen rumah sakit kewalahan bahas kontribusi baik situasi terima kasih
1,bakti jaga selamat masyarakat mari kontribusi cegah tular covid patuh protokol sehat vaksinasi covid semangatpresisipolresgorontalo
1,bangkit umat bangkit indonesia mari jaga semangat zakat energi kedermawanan indonesia kuat krisis pandemik covid prof hilman latief m a ph d miladlazismu lazismu muhammadiyah memberiuntuknegeri zakatbangkitkanindonesia
1,bantu tangan covid dprd tim cleaning service perhati detakkaltim
1,barusan orang cerita lucu dia vonis covid fucksin x telah ket fauckin si tarik statement nya saran istirahat minum air putih banyak arti dagang
0,bejat manusia manfaat darurat akibat pandemi covid jual agama negara chaos
0,belasungkawa arief harsono milik samator produsen oksigen medis besar indonesia almarhum tinggal covid
1,belia masjid lis kerjasama masjid negeri arau lancar projek food bank inisiatif ringan beban golong kes pandemik covid
1,bersholawat nariyah berdo a selamat bangsa bebas wabah pandemi covid blora bismillah allahumma aamiin ariefrohman
0,berwudhu hancur virus corona covid kotor debu wudhu tetap ilmu islam suci sbg syarat sah sholat mabok agama walkot depok deh bajar agama orang beril
0,bingung tebar teel video nyata ichsanuddin noorsy covid pakai dalil ngutif ayat al-quran tahu ekonom musim corona dadak ngustadz kiyai
0,bom sampe kayak jakarta aja kalo boom covid tau mana cari oksigen sana
0,bpk wajib audit masuk rekening koruptor
0,buntut larang salat ied takbir menag takut covid banding allah
0,buntut larang sholat ied takbir menag takut covid banding allah swt
0,cegah sebar covid protokol masker jaga jarak cuci tangan tutup masjid masjid
1,cegah sebar covid terap prokes do a moga pandemi doadaridesaumtukindonesia tppimagetan
0,covid ganas anggota dprd tim ingat prokes kendur detakkaltim
0,covid jg sdg ngamuk peduli dg lonjak covid tinggal sampe gali kubur kewalahan rs overloads sampe nakes lelah manusia empati barang klo bs bantu gaduh
0,covid kes mati hospital tingkat kali ganda
0,covid maxisme-leninisme manusia bagi sumber daya vaksin capai kebal global persen virus mutasi ubah sayang negara kaya vaksin negara miskin
0,covid orang kaya indonesia orang kaya oleh untung ratus sd ribu milyar rupiah negeri mohon tunjuk peduli negara rakyat beli juta vaksin pfizer moderna u suntik rakyat scr gratis
1,covid semprit disiplin hormat masyarakat top sehat doyo
0,covid senjata konflik geopolitik
0,diam rumah sakit isoman rumah kedulitan akses obat sakit prokes wajib rs rujuk covid kolaps pasien tinggal dunia rumah
1,dianissa rachman puter indonesia kaltim ajak warga samarinda ikut vaksinasi covid tribun kaltim
0,daerah tiada bunyi serine mobil ambul blm daya lawan covid krn warga blm patuh prokes perintah
0,diri samator indonesia jasa pandemi covid duka cita
1,doa desa untukindonesia bangsa indonesia pulih pandemi covid
1,doa moga sehat hindar wabah covid doadaridesauntukindonesia
1,dokter tenaga medis juang hadap covid sehat sakit isoman baca ajar nabi shollallahu alayhi wa sallam ulang hati tenteram in-syaa allah ppkmdarurat
0,double standard idea bodoh serius tangan kes covid beban frontliner sop cacamarba sensitif pekak buta lambat peka ttg susah rakyat lampau main politik gila kuasa bodoh rakyat
0,duka cita pabrik oksigen tolong
1,dukung langkah perintah putus rantai sebar covid sobat mari patuh bijak ppkm darurat bijaksana indonesia lawan covid ppkmdaruratlindungikita
0,dunia mau ikut doang lockdown model india bijak gak ikut akibat india sukses turun kali lipat orang infeksi covid gak berita mati luncur rumah rumah teman teman ngeri
0,eggi sudjana dkk jokowi tobat dgn syarat es ngebacot nggak ta u maklum sakit presiden ri bpk joko widodo jajar pusat daerah tk i tk ii camat lurah rw desa rakyat fokus kerja keras hadap pandemi covid merdeka
0,egois sok jago krisis sehat ubah krisis manusia kawaaan papar covid aib sakit tp sebar tahan
0,ekspansi virus delta india malaysia indonesia rusia inggris as krisis covid vaksin menang kebal persen virus ubah ketidaksetaraan vaksin kaya negara miskin
