Label;remove_http
Netral;adek gue positif covid-. gejalanya pilek  batuk  demam  dan anosmia. sekeluarga udah tes  hasilnya negatif. skrg lagi isolasi mandiri. anaknya nyaris ga pernah ke mana-mana. kemungkinan terpapar saat dia antre vaksin rumah beberapa hari yang lalu. kencengin hati-hatinya ya
Netral;Adi menambahkan  selain RS Rujukan Covid- dan produsen oksigen  PLN juga mensiagakan personel untuk menjaga keandalan di lokasi isolasi se-Jawa Timur diantaranya YPPII Malang  Rusun UB Dieng  Badan Diklat Malang. 
Netral;Afrika Selatan telah menyetujui vaksin sinovac China untuk melawan COVID-. Afrika Selatan diketahui saat ini tengah menghadapi gelombang infeksi ketiga. https://t.co/ceLsOfPss 
Netral;Akibat paranoid: Ada yg bilang minum  kaleng susu Beruang sembuuh.......ya memang covid   % sembuh sendiri 😁😁 https://t.co/XOqvpJd 
Positif;Alhamdulilah  orang di Jalan Pt Ibrahim telah mendaftar vaksin dalam Program Pendaftaran Vaksin bersama Penubuhan Team Data. Sumbangan RM kepada Pesakit Covid  juga diberikan bersama Penghulu Mukim PontiN dan JPKK Pt Ibrahim. https://t.co/IppJwQplZb 
Netral;am LEMBAH KLANG : Aliran trafik disemua lebuhraya bertol secara keseluruhanya masih lancar  terkawal berikutan aliran trafik rendah. Laksanakan `lockdown' kendiri  patuhi SOP bagi membendung penularan Covid-. Selamat berhujung minggu. LindungDiriLindungSemua 
Negatif;amah gue positif C-😭 sedih bgt pas dapet kabar kalo amah terpapar covid dari susternya😭😭 mohon bantu doa nya gais buat kesembuhan amah gue sama susternya semoga cepet negatif😭 alhamdulillah nya amah gue tanpa gejala apapun  tpi tetep aja sedih bgt kenapa harus amah gue😭😭 
Netral;Demi keamanan  tidak menutup kemungkinan ibu hamil juga akan diberi vaksin Covid-. Ayahbunda ibuhamil VaksinasiCovid https://t.co/ZfQecQV 
Netral;Ambil maklum makluman berhubung Covid Assessment Centre Kuala Lumpur    Putrajaya bagi mereka yang positif Covid-. Kolomposihat sihatmilikku covidassessmentcentre covid https://t.co/lBTUMB 
Netral;Ambil maklum makluman berhubung Covid Assessment Centre Selangor bagi mereka yang positif Covid-. sihatmilikku covidassessmentcentre covid https://t.co/xdSobfAuz 
Netral;Nah  supaya anak anak lebih mudah tahu cara kerja vaksin  yuk sore ini jam : wib atau jam : wita ngumpul di FB : Geppuk Id  Kak Heru akan bercerita tentang si Imun yang bertemu dengan si Novac utk bekerjasama melawan virus Covid-    https://t.co/QHogKviIHy 
Netral;Ternyata . Anak di Jakarta Positif Covid- di Hari Pertama PPKM Darurat https://t.co/dtBYKXvVn TempoMetro 
Negatif;Di saat ancaman sakit dan kematian krn covid- bgt tinggi  yuk perbnyk bicara    lakukan hal berguna bg orang bnyk. Stop cari masalah    kesalahan orang lain hny spy dirinya seolah baik. Orang baik itu suka bicara kebaikan  orang buruk suka cari keburukan. 
Netral;Andai Wisma Hambalang tidak MANGKRAK  tentu pelayanan Pemerintahan Jokowi akan lebih leluasa dalam menangani pasien Covid-.. https://t.co/FUibKDOU 
Negatif;Janganlah anggap remeh wabah Covid- ini. Kasus Berat terus membanjiri IGD  atau terkapar di rumah karena RS sudah tak bisa menampung lagi. Bukan Obat atau HET Obat  yg dibutuhkan untuk kendalikan Pandemi  tetapi Perilaku Manusia. Butuh Kesadaran bersama jauhi risiko tertular. https://t.co/gLPAaBsl 
Negatif;Anggota Komisi XI DPR dari Fraksi Partai Demokrat Didi Irawadi menilai  Jka pemerintah terus memaksakan pemindahan ibu kota negara (IKN) baru di tengah lonjakkan kasus Covid-. semakin menunjukkan bahwa pemerintah  tdk memiliki sikap empati kepd rakyatnya https://t.co/yeDRmUQB 
Netral;KUANTAN   JULAI  : Kapasiti bagi kesemua empat Pusat Kuarantin dan Rawatan COVID- (PKRC) di negeri ini hanya berbaki  peratus sahaja lagi bagi menampung pesakit baharu.  Berita penuh&gt &gt  https://t.co/nCGCYOiwhc https://t.co/ZikxiVHfr 
 Netral;KUANTAN   JULAI  : Kluster Rantau Kenanga merupakan jangkitan daripada varian baharu yang membimbangkan (VOC) iaitu varian Delta B.. yang pertama kali dikesan di India yang dikenali sebagai Super Strain. Berita penuh&gt &gt  https://t.co/MsQzVCMqFe https://t.co/GDMqdxvrdo
Positif;Antrian ambulance membawa pasien covid  dijogja mlm Ini. Semoga mereka terlayani dan pulih kembali.  Semangat utk kru ambulance yg terus berjuang menghantar pasien   semangat utk nakes RS Se Jogjakarta. https://t.co/cVaMXKWkg 
Positif;Sejak  april hingga sekarang  Banser Tanggap Bencana (Bagana) (Bagana) Kabupaten Pekalongan sudah memakamkan  jenazah covid. Takut? Itu pasti ! Namun  ini ialah panggilan jiwa dan cinta kami bagi negeri ini. https://t.co/gRJtwsZH
Positif;AS Dukung Indonesia Melawan Peningkatan Kasus COVID-   Sindonews BukanBeritaBiasa .https://t.co/tpdCJOat 
Positif;AS akan Kirim  Juta Vaksin Covid- Moderna ke Indonesia. Kedua pejabat tersebut juga membahas rencana AS untuk meningkatkan bantuan bagi upaya respons covid- Indonesia yang lebih luas.  https://t.co/ZyjdRpSC 
Netral;Asrama Haji di Indonesia Sudah Tampung . Pasien Covid- https://t.co/WeLuiF https://t.co/rCPlsBZK 
Positif;Untuk mengatasi lonjakan kasus Covid- tersebut  Gubernur Jawa Timur Khofifah Indar Parawansa langsung gerak cepat 
Netral;  Sepertinya peraturan awal memang ketat tetapi kesini nya agak longgar  tetapi tetap menggunakan prokes Covid-. 
Netral;Australia Akan Perlakukan COVID- Sama Seperti Flu   Australia akan melakukan empat tahap menuju kenormalan hidup  dalam menangani COVID- nantinya memperlakukan virus corona sama seperti perlakuan terhadap virus flu.  https://t.co/mDUeMFZE 
Positif;Awali hari dengan BERITABAIKHARIINI kerjasama dengan ! Setiap pagi  Tim PAGIPAGI akan memberikan berita baik yang Informatif    Inspiratif.  Update berita baik lainnya di portal https://t.co/zLzLYvJnfr - Karena selalu ada berita baik. Radio Lawan Covid . https://t.co/TolKQHgnH 
Negatif;AwasBahayaVirusKadrun Disaat pemerintah sedang berkonsolidasi melawan pandemi Covid-  mahasiswa seharusnya mendukungnya.namun apa yang dilakukan BEM UI malah sebaliknya memberi kritikan tampa data dan tampa solusi. BEM UI kemungkinan telah ditunggangi kelompok kepentingan. https://t.co/fVTomQsvr 
